商品,类型,物料名称,物料编码,消耗数量,单位,物料单价,行成本,适用渠道,ERPNext新单价,基价(两位),适用税率%,ERP_UOM,基价(原始)
脆皮鸡腿排饭(旧价格),combo,酱料盒（堂食）,PA01006,1.0,pc,0.1378128792915,0.1378128792915,通用,0.1378128792915,0.12,7.0,pc,0.122663889
脆皮鸡腿肉饭套餐,combo,百事可乐原味,BE01004,25.0,g,0.24717,6.17925,通用,0.24717,0.22,7.0,g,0.22
脆皮鸡腿肉饭套餐,combo,PLA尖头吸管,PA99024,1.0,pc,0.213465,0.213465,通用,0.213465,0.19,7.0,pc,0.19
脆皮鸡腿肉饭套餐,combo,哑光塑料封口膜,PA99027,1.0,pc,0.08988000000000002,0.08988000000000002,外卖,0.08988000000000002,0.08,7.0,pc,0.08
脆皮鸡腿肉饭套餐,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
脆皮鸡腿肉饭套餐,combo,单杯袋,PA99020,1.0,pc,0.20223,0.20223,外卖,0.20223,0.18,7.0,pc,0.18
脆皮鸡腿肉饭套餐,combo,香米,DR01002,70.0,g,0.02247,1.5729,通用,0.02247,0.02,7.0,g,0.02
脆皮鸡腿肉饭套餐,combo,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮鸡腿肉饭套餐,combo,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡腿肉饭套餐,combo,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡腿肉饭套餐,combo,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡腿肉饭套餐,combo,玉米粒,MK01003,20.0,g,0.0716625,1.4332500000000001,通用,0.0716625,0.07,0.0,g,0.06825
脆皮鸡腿肉饭套餐,combo,沙拉酱,SA02001,15.0,g,0.06741,1.01115,通用,0.06741,0.06,7.0,g,0.06
脆皮鸡腿肉饭套餐,combo,生菜,VE00004,20.0,g,0.08715,1.743,通用,0.08715,0.08,0.0,g,0.083
脆皮鸡腿肉饭套餐,combo,酱料盒（外卖）,PA01005,1.0,pc,0.325815,0.325815,外卖,0.325815,0.29,7.0,pc,0.29
脆皮鸡腿肉饭套餐,combo,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,通用,3.66261,3.26,7.0,pc,3.26
脆皮鸡腿肉饭套餐,combo,Jauaa酱,MK01016,30.0,g,0.1052413087845,3.1572392635349997,通用,0.1052413087845,0.09,7.0,g,0.093672727
脆皮鸡腿肉饭套餐,combo,酱料盒（堂食）,PA01006,1.0,pc,0.1378128792915,0.1378128792915,通用,0.1378128792915,0.12,7.0,pc,0.122663889
脆皮鸡腿饭,single,香米,DR01002,70.0,g,0.02247,1.5729,通用,0.02247,0.02,7.0,g,0.02
脆皮鸡腿饭,single,手枪腿,FR01002,1.0,pc,15.2775,15.2775,通用,15.2775,14.55,0.0,pc,14.55
脆皮鸡腿饭,single,炸鸡炸粉,DR02002,30.0,g,0.0183504996255,0.5505149887649999,通用,0.0183504996255,0.02,7.0,g,0.016333333
脆皮鸡腿饭,single,J起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡腿饭,single,辣味粉,SE05002,3.0,g,0.146055,0.43816499999999997,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡腿饭,single,玉米粒,MK01003,20.0,g,0.0716625,1.4332500000000001,通用,0.0716625,0.07,0.0,g,0.06825
脆皮鸡腿饭,single,沙拉酱,SA02001,15.0,g,0.06741,1.01115,通用,0.06741,0.06,7.0,g,0.06
脆皮鸡腿饭,single,生菜,VE00004,20.0,g,0.08715,1.743,通用,0.08715,0.08,0.0,g,0.083
脆皮鸡腿饭,single,酱料盒（外卖）,PA01005,1.0,pc,0.325815,0.325815,外卖,0.325815,0.29,7.0,pc,0.29
脆皮鸡腿饭,single,塑料碗盒（方盒）,PA01002,1.0,pc,3.66261,3.66261,通用,3.66261,3.26,7.0,pc,3.26
脆皮鸡腿饭,single,Jauaa酱,MK01016,30.0,g,0.1052413087845,3.1572392635349997,通用,0.1052413087845,0.09,7.0,g,0.093672727
脆皮鸡腿饭,single,酱料盒（堂食）,PA01006,1.0,pc,0.1378128792915,0.1378128792915,堂食,0.1378128792915,0.12,7.0,pc,0.122663889
脆皮鸡腿饭套餐,combo,打包袋 (大号),PA99019,1.0,pc,0.7078050000000001,0.7078050000000001,外卖,0.7078050000000001,0.63,7.0,pc,0.63
脆皮鸡腿饭套餐,combo,黄瓜片,MK01020,20.0,g,0.063,1.26,通用,0.063,0.06,0.0,g,0.06
脆皮鸡腿饭套餐,combo,酱料盒（堂食）,PA01006,1.0,pc,0.1378128792915,0.1378128792915,通用,0.1378128792915,0.12,7.0,pc,0.122663889
脆皮鸡腿饭套餐,combo,辣味粉,SE05002,10.0,g,0.146055,1.46055,通用,0.146055,0.13,7.0,g,0.13
脆皮鸡腿饭套餐,combo,塑料叉勺 100pcs*20pack,PA02001,1.0,pc,0.69657,0.69657,通用,0.69657,0.62,7.0,pc,0.62
脆皮鸡腿饭套餐,combo,起酥油,DR02001,10.0,g,0.04954635,0.49546350000000006,通用,0.04954635,0.04,7.0,g,0.0441
脆皮鸡腿饭套餐,combo,16A 冷杯,PA99001,1.0,pc,0.7190400000000001,0.7190400000000001,通用,0.7190400000000001,0.64,7.0,pc,0.64
